,date,gt_index,isPartial,stock_symbol
0,2013-09-29 00:00:00,13,False,PSX
1,2013-10-06 00:00:00,16,False,PSX
2,2013-10-13 00:00:00,9,False,PSX
3,2013-10-20 00:00:00,17,False,PSX
4,2013-10-27 00:00:00,16,False,PSX
5,2013-11-03 00:00:00,7,False,PSX
6,2013-11-10 00:00:00,21,False,PSX
7,2013-11-17 00:00:00,9,False,PSX
8,2013-11-24 00:00:00,11,False,PSX
9,2013-12-01 00:00:00,12,False,PSX
10,2013-12-08 00:00:00,15,False,PSX
11,2013-12-15 00:00:00,7,False,PSX
12,2013-12-22 00:00:00,8,False,PSX
13,2013-12-29 00:00:00,15,False,PSX
14,2014-01-05 00:00:00,19,False,PSX
15,2014-01-12 00:00:00,15,False,PSX
16,2014-01-19 00:00:00,9,False,PSX
17,2014-01-26 00:00:00,24,False,PSX
18,2014-02-02 00:00:00,12,False,PSX
19,2014-02-09 00:00:00,14,False,PSX
20,2014-02-16 00:00:00,16,False,PSX
21,2014-02-23 00:00:00,15,False,PSX
22,2014-03-02 00:00:00,6,False,PSX
23,2014-03-09 00:00:00,18,False,PSX
24,2014-03-16 00:00:00,4,False,PSX
25,2014-03-23 00:00:00,9,False,PSX
26,2014-03-30 00:00:00,5,False,PSX
27,2014-04-06 00:00:00,13,False,PSX
28,2014-04-13 00:00:00,13,False,PSX
29,2014-04-20 00:00:00,12,False,PSX
30,2014-04-27 00:00:00,17,False,PSX
31,2014-05-04 00:00:00,11,False,PSX
32,2014-05-11 00:00:00,15,False,PSX
33,2014-05-18 00:00:00,10,False,PSX
34,2014-05-25 00:00:00,9,False,PSX
35,2014-06-01 00:00:00,14,False,PSX
36,2014-06-08 00:00:00,21,False,PSX
37,2014-06-15 00:00:00,7,False,PSX
38,2014-06-22 00:00:00,12,False,PSX
39,2014-06-29 00:00:00,10,False,PSX
40,2014-07-06 00:00:00,13,False,PSX
41,2014-07-13 00:00:00,10,False,PSX
42,2014-07-20 00:00:00,12,False,PSX
43,2014-07-27 00:00:00,12,False,PSX
44,2014-08-03 00:00:00,10,False,PSX
45,2014-08-10 00:00:00,11,False,PSX
46,2014-08-17 00:00:00,16,False,PSX
47,2014-08-24 00:00:00,7,False,PSX
48,2014-08-31 00:00:00,9,False,PSX
49,2014-09-07 00:00:00,18,False,PSX
50,2014-09-14 00:00:00,10,False,PSX
51,2014-09-21 00:00:00,11,False,PSX
52,2014-09-28 00:00:00,10,False,PSX
53,2014-10-05 00:00:00,8,False,PSX
54,2014-10-12 00:00:00,9,False,PSX
55,2014-10-19 00:00:00,8,False,PSX
56,2014-10-26 00:00:00,11,False,PSX
57,2014-11-02 00:00:00,10,False,PSX
58,2014-11-09 00:00:00,12,False,PSX
59,2014-11-16 00:00:00,9,False,PSX
60,2014-11-23 00:00:00,11,False,PSX
61,2014-11-30 00:00:00,14,False,PSX
62,2014-12-07 00:00:00,23,False,PSX
