stock_symbol,m_date,gt_index,adjusted_gt_index,date,open_monday,close_friday,dji_return,percent_change,abs_percent_change,excess_percent_change,postive_change_dummy,postive_excess_change_dummy,gt_index_lag1,adjusted_gt_index_lag1,gt_index_lag2,adjusted_gt_index_lag2,gt_index_lag3,adjusted_gt_index_lag3
AAPL,2013-09-30,20,-0.4207474066437044,2013-09-29,68.178574,69.004288,1.1622447436243395,-1.211104825982434,1.211104825982434,-2.3733495696067735,0.0,0.0,,,,,,
AAPL,2013-10-07,19,-0.4745519500704594,2013-10-06,69.50856800000001,70.40142800000002,-1.1135921985195567,-1.2845322896020717,1.2845322896020717,-0.17094009108251496,0.0,0.0,20.0,-0.4207474066437044,,,,
AAPL,2013-10-14,22,-0.3131383197901945,2013-10-13,69.975716,72.69856999999998,-1.1050926750193584,-3.891141321083402,3.8911413210834023,-2.7860486460640432,0.0,0.0,19.0,-0.4745519500704594,20.0,-0.4207474066437044,,
AAPL,2013-10-21,25,-0.15172468950992965,2013-10-20,73.110001,75.137146,-1.0970485423732157,-2.7727328303551855,2.7727328303551855,-1.6756842879819698,0.0,0.0,22.0,-0.3131383197901945,19.0,-0.4745519500704594,20.0,-0.4207474066437044
AAPL,2013-10-28,26,-0.09792014608317468,2013-10-27,75.577141,74.290001,-0.2977635555839238,1.7030810943218846,1.7030810943218848,2.0008446499058086,1.0,1.0,25.0,-0.15172468950992965,22.0,-0.3131383197901945,19.0,-0.4745519500704594
AAPL,2013-11-04,17,-0.5821610369239694,2013-11-03,74.442856,74.36571500000002,-0.8999313512734688,0.10362444987331389,0.1036244498733139,1.0035558011467827,1.0,1.0,26.0,-0.09792014608317468,25.0,-0.15172468950992965,22.0,-0.3131383197901945
AAPL,2013-11-11,16,-0.6359655803507243,2013-11-10,74.284286,74.998573,-1.2844490261830297,-0.9615586801224674,0.9615586801224674,0.3228903460605623,0.0,1.0,17.0,-0.5821610369239694,26.0,-0.09792014608317468,25.0,-0.15172468950992965
AAPL,2013-11-18,15,-0.6897701237774793,2013-11-17,74.998573,74.257141,-0.6393008569046372,0.9885948096638972,0.9885948096638973,1.6278956665685345,1.0,1.0,16.0,-0.6359655803507243,17.0,-0.5821610369239694,26.0,-0.09792014608317468
AAPL,2013-11-25,16,-0.6359655803507243,2013-11-24,74.431427,79.438568,-0.08910049743995091,-6.727186622392722,6.727186622392722,-6.638086124952771,0.0,0.0,15.0,-0.6897701237774793,16.0,-0.6359655803507243,17.0,-0.5821610369239694
AAPL,2013-12-02,22,-0.3131383197901945,2013-12-01,79.714287,80.002853,0.4159844739972047,-0.36200035258422747,0.3620003525842274,-0.7779848265814322,0.0,0.0,16.0,-0.6359655803507243,15.0,-0.6897701237774793,16.0,-0.6359655803507243
AAPL,2013-12-09,18,-0.5283564934972144,2013-12-08,80.128571,79.204285,1.6488032898787524,1.1535036610099973,1.1535036610099973,-0.495299628868755,1.0,0.0,22.0,-0.3131383197901945,16.0,-0.6359655803507243,15.0,-0.6897701237774793
AAPL,2013-12-16,19,-0.4745519500704594,2013-12-15,79.288574,78.431427,-2.9286279502711436,1.0810473145853243,1.0810473145853243,4.009675264856468,1.0,1.0,18.0,-0.5283564934972144,22.0,-0.3131383197901945,16.0,-0.6359655803507243
AAPL,2013-12-23,21,-0.36694286321694947,2013-12-22,81.14286,80.012856,-1.560285086516397,1.3926105143446996,1.3926105143446996,2.9528956008610967,1.0,1.0,19.0,-0.4745519500704594,18.0,-0.5283564934972144,22.0,-0.3131383197901945
AAPL,2013-12-30,17,-0.5821610369239694,2013-12-29,79.637146,77.28286,0.08807985318402119,2.956266162526721,2.956266162526721,2.8681863093426996,1.0,1.0,21.0,-0.36694286321694947,19.0,-0.4745519500704594,18.0,-0.5283564934972144
AAPL,2014-01-06,17,-0.5821610369239694,2014-01-05,76.778572,76.13428499999998,0.2245246709598532,0.8391494960338932,0.8391494960338932,0.61462482507404,1.0,1.0,17.0,-0.5821610369239694,21.0,-0.36694286321694947,19.0,-0.4745519500704594
AAPL,2014-01-13,18,-0.5283564934972144,2014-01-12,75.701431,77.238571,-0.1492710616286788,-2.0305296474514383,2.0305296474514383,-1.8812585858227595,0.0,0.0,17.0,-0.5821610369239694,17.0,-0.5821610369239694,21.0,-0.36694286321694947
AAPL,2014-01-20,19,-0.4745519500704594,2014-01-19,,,,,,,0.0,0.0,18.0,-0.5283564934972144,17.0,-0.5821610369239694,17.0,-0.5821610369239694
AAPL,2014-01-27,36,0.4401252881843749,2014-01-26,78.581429,71.514282,1.1348298431764996,8.993406062900696,8.993406062900695,7.858576219724197,1.0,1.0,19.0,-0.4745519500704594,18.0,-0.5283564934972144,17.0,-0.5821610369239694
AAPL,2014-02-03,22,-0.3131383197901945,2014-02-02,71.80143000000002,74.239998,-0.6140371313208545,-3.396266620316579,3.396266620316579,-2.782229488995725,0.0,0.0,36.0,0.4401252881843749,19.0,-0.4745519500704594,18.0,-0.5283564934972144
AAPL,2014-02-10,22,-0.3131383197901945,2014-02-09,74.094284,77.71285999999998,-2.2842105815605622,-4.883745148276183,4.883745148276183,-2.5995345667156204,0.0,0.0,22.0,-0.3131383197901945,36.0,0.4401252881843749,19.0,-0.4745519500704594
AAPL,2014-02-17,19,-0.4745519500704594,2014-02-16,,,,,,,0.0,0.0,22.0,-0.3131383197901945,22.0,-0.3131383197901945,36.0,0.4401252881843749
AAPL,2014-02-24,20,-0.4207474066437044,2014-02-23,74.735718,75.177139,-1.362791931767984,-0.5906426161584359,0.5906426161584359,0.772149315609548,0.0,1.0,19.0,-0.4745519500704594,22.0,-0.3131383197901945,22.0,-0.3131383197901945
AAPL,2014-03-03,18,-0.5283564934972144,2014-03-02,74.774284,75.77714499999998,-0.8026777973205079,-1.3411843569107016,1.3411843569107016,-0.5385065595901937,0.0,0.0,20.0,-0.4207474066437044,19.0,-0.4745519500704594,22.0,-0.3131383197901945
AAPL,2014-03-10,14,-0.7435746672042342,2014-03-09,75.480003,74.955711,2.3547519689729097,0.6946104652380614,0.6946104652380614,-1.6601415037348484,1.0,0.0,18.0,-0.5283564934972144,20.0,-0.4207474066437044,19.0,-0.4745519500704594
